brand	manufacturers_id	name	description	room_image_url	warranty
Better-Aurora	18	Woods Towne	" Inspired by the wood of the maple tree, Woods Towne features 4"" wide planks in random lengths. It offers a realistic range of weathered grain textures and color variations, and is a beautifully rustic solution for any decorating style in the den, kitchen or family room. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41151_WoodsTowneRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Exotics	19	Mayan Pecan	"From its tight knotholes to its dramatic graining, Mayan Pecan has rich visual depth with each board.&nbsp; This pattern is sure to bring a wonderful global influence to any room."	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/MayanPecan_Clove_MNPOSCVI_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Premium-Naturals	20	Tibetan Slate	" Tibetan Slate is a 7.2"" beautifully weathered slate pattern. This pattern will speak to you through its realistic texture, worn edges, and playful use of color. Tibetan's eclectic styling makes an easy transition into any room of the home. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Naturals/17211_TibetanSlateRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Exotics	21	Atlantis Prestige Brazilian Cherry	" The unique styling and design of Mannington's new Atlantis Prestige collection of hardwood floors unlocks the mysterious beauty contained in its five exotic species, and helps homeowners create a tropical oasis in any room. Updated and richer than before, colors Sunkissed and Dusk are inspired by the heat and passion that Brazil is known for. "	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NEJ05SK1_BrazilianCherryRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Exotics	22	Sapele Atlantis	"The Atlantis collection of hand stained hardwoods offers four exotic style perfect for today's sophisticated home. Royal Mahogany and Acacia are hand sculpted for added texture, while Sapele and Imperial Tigerwood are finished for a smooth, antique look."	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NE05CI1_SapeleRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Catalina	23	Catalina	" Reminiscent of the gently shifting sands of the island for which it's named, each of Catalina's pastel hues provides effortless tranquility to any indoor environment. "	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/CatalinaRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Coordinations	24	Honey Ohio Oak	"The Ohio Oak pattern in Natural and Honey, has the inviting look of traditional oak floor complete with raised graining texture."	http://www.mannington.com:80	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Duration	25	Riverwalk	"The best value in the industry, the Duration collection has gorgeous styling, competitive pricing, a urethane wearlayer, and is made with recycled content."	http://www.mannington.com:80/~/media/Images/Product/Resilient/Duration/DR132_Riverwalk_Breeze_VG.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Serengeti Slate	26	Serengeti Slate	" A faithful interpretation of the characteristics of natural slate, Serengeti Slate is a through body porcelain that combines the dramatic color play, clefting and ledging of natural stone with extreme, eye-catching variation. "	http://www.mannington.com:80/~/media/Images/Product/Porcelain/SerengetiSlate/SS0T18_SerengetiSlateVG1.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Exotics	27	Atlantis Prestige Andean Pecan	" The unique styling and design of Mannington's new Atlantis Prestige collection of hardwood floors unlocks the mysterious beauty contained in its five exotic species, and helps homeowners create a tropical oasis in any room. With exquisite character, unique texture, and intricate graining, Andean Pecan comes in two dramatic colors lighter, yet dramatic, Natural and rich, dark Tobacco. "	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NEP05TB1_AndeanPecanRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Cairo	28	Cairo	" Drawing on the architectural inspiration of ancient Egypt, the Cairo Series offers an ever-changing rich, vibrant mix of natural color variation and realistic texture. "	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Cairo/CairoPapyrusRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
American Classics	29	Madison Oak Plank 5 Inch	Madison Oak Plank is a stylish new look with an outstanding low luster finish that is so sought after. The low gloss allows even more of the natural beauty of our hardwood floors to be revealed.	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Classics/MOP05HTN1_MADISONOAKRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Sobella Supreme	30	Sobella Ardesia	" Excavated from European quarries, each piece of this 12 rustic slate has been hand selected to assure a wonderful play of color, pattern and texture. Ardesia is accentuated by rustic grout lines and schaled surface that offers a naturally realistic look that can compliment a wide variety of decors. "	http://www.mannington.com:80/~/media/Images/Product/Sobella/Supreme/ALT101_ArdesiaRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Benchmark	31	Timbercrest	"Timbercrest provides a traditional American look and feel to any home. By bringing the look of beautiful hardwood flooring to any room, this natural wood grain pattern compliments a wide range of Country, Traditional and Contemporary looks."	http://www.mannington.com:80/~/media/Images/Product/Resilient/Benchmark/3701_TimbercrestRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Adura Tile	32	Yunan	"This traditional marble has exquisite detail and visual interest. Classic and timeless, this pattern will lend an air of sophistication to any home office, foyer or dinning area."	http://www.mannington.com:80/~/media/Images/Product/Adura/LuxuryTile/AT152_AT154_YUNANRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Plank	33	Time Crafted Walnut	" Complete with a refined yet rustic charm, Time Crafted Walnut skillfully combines the classic look of walnut with the authenticity of a hand-planed artesian finish. The subtle tone of the graining is enhanced through realistic hand-scraped texture, custom colored irregular bevel on all four sides, and embossing in register. "	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26722_TIMECRAFTEDWALNUTRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Duration	34	Toscana	"The best value in the industry, the Duration collection has gorgeous styling, competitive pricing, a urethane wearlayer, and is made with recycled content."	http://www.mannington.com:80/~/media/Images/Product/Resilient/Duration/DR010_Toscana_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Plank	35	Louisville Hickory	" Revolutions Plank, with NatureForm Optix technology, micro-beveling and narrow 5"" widths, combines the look and feel of natural wood with the performance of laminate. "	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26401_LouisvilleHickoryRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Plank	36	Tasmanian Blackwood	" A new addition to our Revolutions Plank line, Tasmanian Blackwood possesses all of the elegant beauty found in the natural wooded forests of Tasmania. This 5"" exotic wood visual features heavy graining and distinctive knotholes. "	"http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26761TasmanianBlackwoodSepiaRS.ashx<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"	
American Classics	37	American Oak Plank 3 Inch	" Available in both 3"" and 5"" wide planks, American Oak is rich and deep in color. This American classic has an open grain finish with Scratchresist that makes it perfect for arid environments. "	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Classics/AMN03OBZ1_AMERICANOakRSjpg.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Aurora	38	Oak Plank	Nothing warms like the look of wood and the Oak Plank design in Honey Oak or Golden Natural provides all the realistic graining and character of the real thing.	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41016_detail.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Simplicity	39	Santorini	" Santorini displays the natural integrity of stone delivered straight from Grecian quarries. With its stony character, narrow grout lines, and 12"" format, this pattern is well suited for modern, traditional interiors as well as contemporary, urban settings. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Simplicity/98060_SantoriniRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Hand Crafted	40	Marrakech Moroccan Hickory	" Featuring a unique random-width format, incorporating a variety of 2_, 3, and 5 planks, Moroccan Hickory  part of the new Marrakech Collection -- is unquestionably exceptional. Hand-scraped and hand-stained, the striking features of the pattern bring a fashionable global style to the home. "	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/MMH05CV1_MarrakechRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Duration	41	Torino Ridge	"Torino Ridge,&nbsp;a small-scale modular pattern has rectified grout lines, great depth, texture, and color that provide this pattern with a unique modern flair.http://www.mannington.com:80/~/media/Images/Product/Resilient/Duration/DR111_Torino_Ridge_MorningDewRS.ashx"	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"	
American Classics	42	American Hickory Plank 5 inch	"The hardest American wood, Hickory is known for its rich character and distinct graining. Versatile and adaptable, this floor is a pleasant upgrade or addition to any room."	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Classics/AMY05NA1_AmericanHickoryRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Sobella Deluxe	43	Sobella Coral Bay	"Inspired by the Great Barrier Reef, Coral Bay is an allover pattern that captures the unique and subtle texture of coral found in the warmest waters of the ocean. Coral Bay can provide a calming, tranquil, and comfortable feel to any home."	http://www.mannington.com:80/~/media/Images/Product/Sobella/Deluxe/CoralBay_Sea_Shell_ALT301_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Jumpstart	44	Colorado	"Colorado is a bold, large-scaled slate-look that combines extremely rich colors with rectified grout lines.&nbsp; Its contemporary rectangular layout offers a modern twist to a traditional stone that can compliment a wide range of interior styles."	http://www.mannington.com:80/~/media/Images/Product/Resilient/Jumpstart/71240_Colorado_Canyon_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Hand Crafted	45	Heritage Hickory Plank	 Handmade by master craftsmen who faithfully reproduce the finest 19th century wood floors. The American Legacy Collection is a past winner of the Industry's Award for Best Wood Manufacturer. 	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/HH05SN1_HeritageHickoryPlan.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
American Classics	46	Blue Ridge Hickory Plank	" The hardest American wood, Hickory is known for its rich character and distinct graining. Versatile and adaptable, this floor is a pleasant upgrade or addition to any room. "	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Classics/BR05NA1_BlueRidgeHickoryPla.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Distinctive Plank	47	Ashford Walnut	" A unique 5"" wide plank with realistic registered embossing and intricate character from rich weathered graining and planed and glazed edges. Inspired by the lush forests that surround the massive castles in Ireland, Ashford Walnut comes in four colors, chosen to enhance todays furniture and cabinetry trends. "	http://www.mannington.com:80/~/media/Images/Product/Adura/DistinctivesCollection/ALP061_ASFORDWALNUTRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Benchmark	48	San Tropez	"Benchmark features lots of style and not a lot of maintenance thanks to NatureForm, Guardian Protection, and the Never Yellow Warranty. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Benchmark/3761_SanTropezRSjpg.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Jumpstart	49	Encore	" Encore brings to the spotlight a 12"" slate design featuring one-of-a-kind styling and design. Its character, realistic grout lines, and color play brings wonderful excitement to any room. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Jumpstart/71202_Encore_Backdrop_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Adura Plank	50	Coolibah Burlwood	" This Australian inspired Burlwood is visually stunning. Coolibah Burlwood is a lavish figured wood that would add an air of distinction to most dining rooms, livings rooms and kitchens. "	http://www.mannington.com:80	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Jumpstart	51	Jumpstart Canyon Point	" Canyon Point has the bold masculine feel of a hearty travertine. Canyon Point contains 12"" tiles that feature rustic grout lines, distinctive texture markings, and wonderful color characteristics creating a versatile look for today's lifestyle. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Jumpstart/71062_CanyonPointRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Benchmark	52	Honeytone	" Inspired by the lush forests of Louisville Kentucky, American Hickory embodies all the qualities of traditional hardwood flooring. This variable width plank floor features heavy graining, rustic knotholes, and classic coloring, which will provide warmth to any home. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Benchmark/3880_AMHICKORYRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Adura Tile	53	Athena	" Inspired by the picturesque artifacts of ancient Greece, Athena is a subtle sand worn travertine visual that blends traditional styling with a renewed sense of sophistication. Featuring Manningtons own V_ technology, it provides 8 distinctive tile visuals that when combined together create unique and natural color shifts. "	http://www.mannington.com:80/~/media/Images/Product/Adura/LuxuryTile/AT242_Athena_GrecianGrey_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Hand Crafted	54	Nottingham Maple Inverness	" With old world charm and an ultramodern finish, each Inverness board is carefully hand sculpted and hand glazed to bring out the wood's natural grain and beauty. Planed edges, splits and scrapes recreate the timeless character of century-old floors, while the industry's most advanced finishing technologies enhance and protect those award-winning looks for years to come. "	http://www.mannington.com:80	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Tile	55	Sedona	" Capturing the energy and natural features of the Arizona landscape, Sedona's realistic texture and rectified grout lines create unparalleled warmth in any interior. This slate visual combines a modern aesthetic with rustic details. "	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsTile/38071SedonaDesertSandRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Sobella Supreme	56	Sobella Cambridge	"Cambridge captures all the realism and authentic beauty found in natural slate.&nbsp; This one-of-a-kind pattern features a unique staggered layout that provides a contemporary twist on this classic 12"" slate look."	http://www.mannington.com:80/~/media/Images/Product/Sobella/Supreme/Cambridge_Flagstone_ALT701_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Duration	57	Colorado Slate	Colorado Slate is a&nbsp;warm slate-look&nbsp;with rich colors&nbsp;that can compliment a wide range of interior styles.	http://www.mannington.com:80/~/media/Images/Product/Resilient/Durations/DR051_ColoradoSlate_Suede_VG.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Slate Valley	58	Slate Valley	Slate Valley provides the American consumer with the most popular visual in tile &ndash; slate. The series is offered in 5 solid colorations that work with all types of surface finishes.	http://www.mannington.com:80/~/media/Images/Product/Porcelain/SlateValley/SV1T13_SlateValley_meadowRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Simplicity	59	Terra Nova	" Worn and weathered, Terra Nova features the look of 12 handmade terracotta tiles that seem to be aged and distressed by the sun and time. Soft, earthy tones highlight the unique surface texture and handcrafted grout lines of this handsome pattern, helping to transport you and your home to a warm and sun drenched locale. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Simplicity/98080_TerraNovaRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Best-Realistique	60	Clermont	" Reminiscent of the charming French village for which it was named, Clermont is a beautifully colored and textured travertine in a classic modular layout. The perfect blend of natural color and surface variation can give complete harmony to any kitchen or foyer. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Realistique/97031_ClermontRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Benchmark	61	Spice	" Inspired by the lush forests of Louisville Kentucky, American Hickory embodies all the qualities of traditional hardwood flooring. This variable width plank floor features heavy graining, rustic knotholes, and classic coloring, which will provide warmth to any home. "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Benchmark/3880_AMHICKORYRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Benchmark	62	San Dona	San Dona's unique modular pattern combines subtle texture with an eye-catching layout. Its delicate colorations and elemental feel help this design adapt to any surrounding.	http://www.mannington.com:80/~/media/Images/Product/Resilient/Benchmark/3811_SanDonaRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Jumpstart	63	Finish Line	" Finish Line is a 9"" black-and-white checkerboard pattern that brings a fun, playful atmosphere to any interior. Its classic styling makes it a true winner! "	http://www.mannington.com:80/~/media/Images/Product/Resilient/Jumpstart/71220_FinishLine_CheckeredFlag_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Good-Duration	64	Madagascar	"Madagascar is reminiscent of the tropical climate of the African coast. Warm rich tones, elegant graining and variable width planks combine to create a unique dramatic feel. This exotic wood design will help create an inviting cozy feel to any room in the home."	http://www.mannington.com:80/~/media/Images/Product/Resilient/Duration/DR021_Madagascar_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Earthly Elements	65	Earthly Elements	" Earthly Elements is a revolutionary hardwood that offers unparalleled artistic freedom using two new shapes - Squares &amp; Rectangles, and traditional Planks. These shapes allow the ultimate in design flexibility using three simple steps. 1 - Choose the color, 2 - Choose the pattern, 3 - Design the floor. "	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Wood Tiles/WTH12x24EM1_Hickory_Ember_Weave_RS1.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Premium-Naturals	66	Carolina Oak	"Inspired by the traditional look of oak, Carolina Oak features random-length wood planks with a wide range of weathered grain textures and color variations. Carolina Oak offers a handsome solution to any den, kitchen, or family room."	http://www.mannington.com:80/~/media/Images/Product/Resilient/Naturals/17300_CarolinaOakRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Sobella Deluxe	67	Sobella Serena	"A soft blend of color and smooth surface texture, Serena is an authentic marble look in a staggered rectangular layout.&nbsp;This pattern&nbsp;offers a contemporary solution to any home.&nbsp;"	http://www.mannington.com:80/~/media/Images/Product/Sobella/Deluxe/Serena_PebbleBeach_ALT341_VG.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Coordinations	68	Jakarta Teak	 Jakarta Teak is the first Coordinations pattern to feature NatureForm Optix. It is a classic exotic with rich color and beautiful grain patterns. 	http://www.mannington.com:80/~/media/Images/Product/Laminate/Coordinations/Laminate_45031_JakartaTeak_TeaLeaf_RS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Revolutions Tile	69	Portofino	" Worn and weathered, Portofino is a 16"" slate tile pattern that embodies all of the ""Old World"" character of Italy. Featuring a rich colorful patina and unique surface texture, this pattern is a wonderful addition to our Revolutions Tile line."	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsTile/38081PortofinoPebbleBedRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
American Classics	70	American Maple Plank	"Fine graining and subtle variations in color makes American Hardwoods Maple an excellent choice for any room. A true American classic, maple is the preferred choice and a perfect compliment to modern cabinetry."	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Classics/AMM05AU1_AmericanMapleRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
Better-Aurora	71	Acadia Ridge	"Wonderfully colorful and textural, Acadia Ridge is a large scale modular design that combines multi-sized sand washed limestones. This pattern evokes unexpected richness that can blend with any interior for many stylish possibilities."	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41211_AcadiaRidgeRS.ashx	"<a href=""http://www.mannington.com/residential/downloads/warranties/resilient.pdf"">View Warranty Infomartion</a>"
